model,epochs,acc,loss
LSTM-Emb,20,0.969298245614035,0.165731399597829
LSTM-Emb,21,0.978070175438597,0.14845558399694
LSTM-Emb,22,0.969298245614035,0.15510242105576
LSTM-Emb,23,0.973684210526316,0.142180198901578
LSTM-Emb,24,0.978070175438597,0.134228076981871
LSTM-Emb,25,0.973684210526316,0.146280277520418
LSTM-Emb,26,0.969298245614035,0.144343333024728
LSTM-Emb,27,0.973684210526316,0.133568492374922
LSTM-Emb,28,0.978070175438597,0.132020676345156
LSTM-Emb,29,0.973684210526316,0.128607595829587
LSTM-Emb,30,0.978070175438597,0.129118706704232
GRU-Emb,1,0.469298245614035,0.803747782581731
GRU-Emb,2,0.5,0.797777546079535
GRU-Emb,3,0.640350877192982,0.791839314134497
GRU-Emb,4,0.56140350877193,0.787411564274838
GRU-Emb,5,0.583333333333333,0.779368468543939
GRU-Emb,6,0.631578947368421,0.770598619653468
GRU-Emb,7,0.714912280701754,0.758317742431373
GRU-Emb,8,0.719298245614035,0.73765329206199
GRU-Emb,9,0.723684210526316,0.696925491617437
GRU-Emb,10,0.798245614035088,0.573193497825087
GRU-Emb,11,0.859649122807018,0.455571484670304
GRU-Emb,12,0.894736842105263,0.356113730815419
GRU-Emb,13,0.859649122807018,0.394597431546763
GRU-Emb,14,0.885964912280702,0.409886499507385
GRU-Emb,15,0.93859649122807,0.265630873671749
GRU-Emb,16,0.93859649122807,0.267837081039161
GRU-Emb,17,0.921052631578947,0.292295928586993
GRU-Emb,18,0.921052631578947,0.286032899037788
GRU-Emb,19,0.929824561403509,0.273185940165269
GRU-Emb,20,0.916666666666667,0.26723342232014
GRU-Emb,21,0.93421052631579,0.243049180298521
GRU-Emb,22,0.899122807017544,0.353992985005964
GRU-Emb,23,0.881578947368421,0.391660665210925
GRU-Emb,24,0.93859649122807,0.226674041204285
GRU-Emb,25,0.942982456140351,0.263555250146933
GRU-Emb,26,0.942982456140351,0.227766258151908
GRU-Emb,27,0.956140350877193,0.21201469527002
GRU-Emb,28,0.964912280701754,0.197375148404063
GRU-Emb,29,0.960526315789474,0.197218193558224
GRU-Emb,30,0.947368421052632,0.202093355226935
