true_label,model,Prediction,Freq
1,cnn_lstm,1,14
0,cnn_lstm,1,3
1,effectR,1,4
0,effectR,1,0
1,cnn_lstm,0,3
0,cnn_lstm,0,14
1,effectR,0,13
0,effectR,0,17
