,acc,loss
0,0.43137254901960786,1.7747112091849833
1,0.4411764705882353,1.7631552920621985
2,0.5098039215686274,1.7501547313203998
3,0.47058823529411764,1.7420680359298109
4,0.45098039215686275,1.729294454350191
5,0.5392156862745098,1.71811281933504
6,0.46078431372549017,1.7083785393658806
7,0.5196078431372549,1.696896562389299
8,0.5392156862745098,1.6871162068610097
9,0.5294117647058824,1.6772140451506072
10,0.5196078431372549,1.6650317089230406
11,0.5784313725490197,1.6537185136009664
12,0.5196078431372549,1.6450950655282712
13,0.5882352941176471,1.6348316879833447
14,0.6274509803921569,1.6244366355970794
15,0.5490196078431373,1.6150292204875571
16,0.5490196078431373,1.6051714467067344
17,0.5294117647058824,1.5954676492541444
18,0.5392156862745098,1.587189695414375
19,0.5392156862745098,1.5777077347624535
20,0.5980392156862745,1.56556848451203
21,0.5686274509803921,1.5579711829914766
22,0.5294117647058824,1.5496511085360658
23,0.5686274509803921,1.5408674665525848
24,0.6078431372549019,1.5328297334558822
25,0.6274509803921569,1.5217638155993294
26,0.6470588235294118,1.512224557353001
27,0.6666666666666666,1.5042791460074632
28,0.6078431372549019,1.496466924162472
29,0.7058823529411765,1.4868818918863933
