Species	 Sequences Recovered
Clavibacter michiganensis	   2
Cystobacter fuscus	   1
Erwinia amylovora	  10
Pantoea stewartii	   2
Pseudomonas cichorii	   1
Pseudomonas savastanoi	   1
Pseudomonas syringae	  72
Ralstonia solanacearum	  46
Xanthomonas axonopodis	   4
Xanthomonas campestris	  19
Xanthomonas citri	   5
Xanthomonas oryzae	  24
Xylella fastidiosa	   3
