Species	 Sequences Recovered
Blumeria graminis	14
Botrytis cinerea	1
Cercospora beticola	1
Colletotrichum orbiculare	1
Dothistroma septosporum	1
Fusarium graminearum	1
Fusarium oxysporum	9
Leptosphaeria maculans	6
Magnaporthe oryzae	19
Penicillium expansum	4
Puccinia striiformis	2
Pyrenophora tritici-repentis	2
Rhynchosporium commune	3
Ustilago maydis	25
Verticillium dahliae	6
Zymoseptoria tritici	2
